epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
38,2020-09-16,189,GO,Goiânia,5208707,city,44324,2923.52879,1346,1135,19,0.0256,1516113,True,False
38,2020-09-16,156,GO,Goianira,5208806,city,530,1196.68541,0,23,0,0.0434,44289,True,False
38,2020-09-16,105,GO,Goiás,5208905,city,156,688.8938,2,7,0,0.0449,22645,True,False
38,2020-09-16,162,GO,Goiatuba,5209101,city,993,2912.45051,35,25,0,0.0252,34095,True,False
38,2020-09-16,115,GO,Gouvelândia,5209150,city,87,1475.0763,9,0,0,0.0,5898,True,False
38,2020-09-16,162,GO,Guapó,5209200,city,385,2709.55029,3,4,0,0.0104,14209,True,False
38,2020-09-16,101,GO,Guaraíta,5209291,city,32,1603.20641,0,3,0,0.0938,1996,True,False
38,2020-09-16,92,GO,Guarani de Goiás,5209408,city,47,1207.29515,0,0,0,0.0,3893,True,False
38,2020-09-16,73,GO,Guarinos,5209457,city,18,1003.34448,0,0,0,0.0,1794,True,False
38,2020-09-16,76,GO,Heitoraí,5209606,city,38,1020.40816,0,1,0,0.0263,3724,True,False
38,2020-09-16,174,GO,Hidrolândia,5209705,city,807,3717.86603,22,14,0,0.0173,21706,True,False
38,2020-09-16,104,GO,Hidrolina,5209804,city,159,4461.27946,-2,2,0,0.0126,3564,True,False
38,2020-09-16,93,GO,Iaciara,5209903,city,103,738.51007,3,2,0,0.0194,13947,True,False
38,2020-09-16,182,GO,Importados/Indefinidos,,city,1,,0,0,0,0.0,,True,False
38,2020-09-16,100,GO,Inaciolândia,5209937,city,125,2018.08201,0,4,0,0.032,6194,True,False
38,2020-09-16,122,GO,Indiara,5209952,city,205,1313.17661,20,5,0,0.0244,15611,True,False
38,2020-09-16,151,GO,Inhumas,5210000,city,2214,4187.94688,33,39,0,0.0176,52866,True,False
38,2020-09-16,143,GO,Ipameri,5210109,city,244,904.20604,3,7,0,0.0287,26985,True,False
38,2020-09-16,106,GO,Ipiranga de Goiás,5210158,city,24,829.58866,0,0,0,0.0,2893,True,False
38,2020-09-16,133,GO,Iporá,5210208,city,781,2476.92747,22,19,0,0.0243,31531,True,False
38,2020-09-16,105,GO,Israelândia,5210307,city,54,1928.57143,8,1,0,0.0185,2800,True,False
38,2020-09-16,119,GO,Itaberaí,5210406,city,1068,2489.51049,2,26,0,0.0243,42900,True,False
38,2020-09-16,83,GO,Itaguari,5210562,city,258,5517.53636,4,4,1,0.0155,4676,True,False
38,2020-09-16,158,GO,Itaguaru,5210604,city,75,1432.11762,0,3,0,0.04,5237,True,False
38,2020-09-16,121,GO,Itajá,5210802,city,48,1057.50165,1,1,0,0.0208,4539,True,False
38,2020-09-16,114,GO,Itapaci,5210901,city,284,1235.80349,11,9,1,0.0317,22981,True,False
38,2020-09-16,99,GO,Itapirapuã,5211008,city,111,2221.3328,0,3,0,0.027,4997,True,False
